id,layer,min_m,max_m,cells,area_km2
210,2,10,15,281,780.1951840050984
21,0,0,5,271,755.7339502754932
366,3,15,20,213,590.857612572499
99,1,5,10,172,478.1514366130166
27,0,0,5,150,417.3865393746773
39,0,0,5,82,229.17761586726965
549,4,20,25,78,216.65329430336908
530,4,20,25,52,144.08448003414992
733,5,25,30,45,125.49724064185207
109,1,5,10,44,122.41268545444177
699,5,25,30,44,121.88626172226722
135,1,5,10,41,114.37515181578004
1021,7,35,40,41,114.2940796290446
852,6,30,35,41,113.51699050880609
700,5,25,30,40,110.81545502864051
537,4,20,25,39,108.10028874596627
995,7,35,40,36,99.61639597146474
698,5,25,30,35,96.9639449436237
147,1,5,10,32,89.50107750315217
115,1,5,10,29,80.71806704057568
997,7,35,40,28,77.53395189225375
43,0,0,5,27,75.59727600989007
703,5,25,30,27,74.87484265842669
853,6,30,35,25,69.26807247934887
693,5,25,30,25,69.17882607522237
1152,8,40,45,24,66.9660112968454
593,4,20,25,23,64.1544376060711
396,3,15,20,23,63.995495544416336
846,6,30,35,22,60.854421096862865
155,1,5,10,21,58.8309911218674
1149,8,40,45,20,55.78265919484265
576,4,20,25,20,55.71729277589367
863,6,30,35,19,52.70902224126469
704,5,25,30,19,52.66304653487403
1608,13,65,70,19,52.49856476823617
1006,7,35,40,18,49.92656602495373
1120,8,40,45,18,49.79606577562305
582,4,20,25,17,47.35778017748272
385,3,15,20,15,41.6669784809865
552,4,20,25,15,41.621102085318185
1025,7,35,40,14,39.05310892645068
233,2,10,15,14,38.95495911248855
1228,9,45,50,14,38.718757245648916
843,6,30,35,14,38.67843491688944
146,1,5,10,13,36.327112508366554
1251,9,45,50,12,33.46143417446343
543,4,20,25,12,33.2572729194464
1688,14,70,75,12,33.218281248129045
696,5,25,30,12,33.210595300167476
691,5,25,30,12,33.167353566178235
3988,50,250,255,11,30.71570206654102
885,6,30,35,11,30.666178732357558
713,5,25,30,11,30.540813440687483
711,5,25,30,11,30.517275789027696
848,6,30,35,11,30.454132208916867
531,4,20,25,11,30.449995963776754
1766,15,75,80,11,30.38125237725076
3436,40,200,205,11,30.257868383341975
319,2,10,15,10,28.104851710245285
1718,14,70,75,10,27.96228704059574
33,0,0,5,10,27.87325291798382
388,3,15,20,10,27.799511718354715
1428,11,55,60,10,27.643217483820337
991,7,35,40,10,27.621263223239467
4985,71,355,360,10,27.577256104233047
68,0,0,5,9,25.374158126485813
180,1,5,10,9,25.37415526398032
894,6,30,35,9,25.12462849033685
1352,10,50,55,9,25.10016056156669
887,6,30,35,9,25.0943282326275
1019,7,35,40,9,25.068052325668486
551,4,20,25,9,24.96771581963758
1129,8,40,45,9,24.92464886486436
1438,11,55,60,9,24.91282643833031
1529,12,60,65,9,24.909276969645944
1776,15,75,80,9,24.903950073832043
847,6,30,35,9,24.901584932106033
8,0,0,5,9,24.89980773948035
1328,10,50,55,9,24.88263008577884
4950,70,350,355,9,24.814884978111586
53,0,0,5,8,22.46710107452822
921,6,30,35,8,22.40018648517186
1464,11,55,60,8,22.380498637944477
893,6,30,35,8,22.32879807781623
269,2,10,15,8,22.31248573138987
