lower,upper,layer_jump
1,188,2
1,191,2
1,348,3
1,509,4
2,81,1
2,190,2
2,835,6
2,836,6
2,1217,9
3,192,2
3,510,4
3,1104,8
4,82,1
4,351,3
5,194,2
5,513,4
6,86,1
6,87,1
6,198,2
6,355,3
6,1225,9
7,87,1
7,90,1
7,200,2
7,691,5
8,89,1
8,91,1
8,92,1
8,202,2
8,206,2
8,207,2
8,360,3
8,361,3
8,365,3
9,364,3
9,536,4
9,538,4
9,693,5
9,700,5
10,376,3
10,1006,7
11,95,1
11,212,2
11,374,3
11,378,3
11,543,4
11,552,4
12,215,2
12,379,3
13,219,2
14,97,1
14,101,1
14,221,2
14,222,2
14,223,2
14,551,4
15,383,3
16,563,4
16,1006,7
17,223,2
17,549,4
18,107,1
18,108,1
18,228,2
18,390,3
18,549,4
19,224,2
19,713,5
20,566,4
20,872,6
21,99,1
21,116,1
21,123,1
21,127,1
21,130,1
21,133,1
21,138,1
21,141,1
21,142,1
21,143,1
21,144,1
21,145,1
21,146,1
21,148,1
21,149,1
21,150,1
21,152,1
21,210,2
21,243,2
21,244,2
21,251,2
21,255,2
21,259,2
21,263,2
21,271,2
21,273,2
21,274,2
21,276,2
21,282,2
21,284,2
21,285,2
21,287,2
21,289,2
21,290,2
21,396,3
21,418,3
21,419,3
21,431,3
21,450,3
21,453,3
21,589,4
21,590,4
22,108,1
23,229,2
23,391,3
24,395,3
24,724,5
25,568,4
25,872,6
26,112,1
26,231,2
26,390,3
26,726,5
27,109,1
27,113,1
27,114,1
27,115,1
27,117,1
27,118,1
27,119,1
27,120,1
27,121,1
27,122,1
27,124,1
27,125,1
27,126,1
27,134,1
27,229,2
27,230,2
27,231,2
27,232,2
27,234,2
27,237,2
27,238,2
27,240,2
27,241,2
27,245,2
27,246,2
27,247,2
27,249,2
27,252,2
27,253,2
27,257,2
27,261,2
27,265,2
27,268,2
27,394,3
27,398,3
27,400,3
27,401,3
27,402,3
27,403,3
27,405,3
27,407,3
27,410,3
27,411,3
27,412,3
27,413,3
27,414,3
27,423,3
27,569,4
27,572,4
27,573,4
27,581,4
27,582,4
27,594,4
27,601,4
27,728,5
27,737,5
27,1022,7
28,99,1
29,109,1
29,227,2
30,115,1
31,99,1
31,109,1
31,233,2
31,366,3
32,115,1
33,129,1
33,135,1
33,258,2
33,266,2
33,429,3
33,588,4
33,596,4
33,600,4
33,742,5
33,883,6
33,1022,7
34,115,1
35,131,1
35,265,2
35,427,3
35,740,5
36,131,1
36,267,2
36,432,3
37,132,1
37,747,5
37,1252,9
38,137,1
38,269,2
39,135,1
39,147,1
39,160,1
39,279,2
39,297,2
39,302,2
39,787,5
40,437,3
40,1026,7
41,602,4
42,151,1
42,287,2
42,290,2
43,150,1
43,153,1
43,157,1
43,158,1
43,291,2
43,300,2
43,303,2
43,463,3
43,468,3
43,620,4
43,629,4
44,154,1
44,156,1
44,779,5
44,918,6
45,155,1
46,156,1
46,306,2
47,795,5
47,1483,11
47,1574,12
48,308,2
49,476,3
50,642,4
50,1393,10
51,309,2
51,311,2
51,801,5
52,799,5
52,1489,11
53,164,1
53,165,1
53,314,2
53,315,2
53,1292,9
53,1293,9
53,1394,10
53,1982,17
54,166,1
54,316,2
55,167,1
55,313,2
56,169,1
56,649,4
56,1080,7
57,320,2
57,650,4
58,2060,18
59,651,4
59,948,6
59,1659,13
60,1816,15
60,2065,18
60,3682,44
61,173,1
61,176,1
61,323,2
61,328,2
61,485,3
62,1493,11
62,1744,14
63,3626,43
64,329,2
64,956,6
65,489,3
65,657,4
65,957,6
66,177,1
67,177,1
67,812,5
68,180,1
68,181,1
68,1090,7
69,180,1
69,338,2
69,340,2
69,1095,7
69,1505,11
70,2223,20
70,2774,28
71,183,1
71,501,3
72,183,1
72,821,5
72,1312,9
73,502,3
73,670,4
73,824,5
74,343,2
74,1098,7
75,504,3
75,672,4
76,185,1
77,975,6
78,346,2
78,3206,35
79,3486,40
80,188,1
80,348,2
80,676,4
80,832,5
81,190,1
81,349,2
81,350,2
81,982,6
81,1419,10
82,351,2
82,511,3
82,1319,9
83,351,2
84,681,4
84,986,6
85,683,4
85,988,6
86,196,1
86,197,1
86,353,2
86,355,2
86,357,2
86,515,3
86,521,3
86,522,3
86,686,4
87,358,2
88,199,1
88,201,1
88,523,3
88,690,4
88,692,4
88,844,5
89,205,1
89,359,2
89,360,2
89,524,3
89,691,4
89,693,4
90,526,3
90,845,5
91,203,1
91,206,1
91,362,2
91,363,2
91,525,3
92,206,1
92,365,2
92,693,4
92,702,4
93,208,1
93,364,2
93,533,3
93,536,3
93,700,4
94,211,1
94,548,3
94,708,4
94,1005,6
95,214,1
95,373,2
95,374,2
95,543,3
95,552,3
96,212,1
96,215,1
96,370,2
97,218,1
97,377,2
97,549,3
97,551,3
97,709,4
98,217,1
98,704,4
98,865,5
99,210,1
99,233,1
99,236,1
99,239,1
99,242,1
99,243,1
99,251,1
99,366,2
99,388,2
99,396,2
99,404,2
99,409,2
99,415,2
99,885,5
100,379,2
100,550,3
100,557,3
100,715,4
101,222,1
101,386,2
101,551,3
102,558,3
102,1006,6
103,210,1
103,366,2
104,383,2
105,716,4
105,867,5
106,387,2
107,225,1
107,549,3
109,210,1
109,227,1
109,233,1
109,237,1
109,245,1
109,250,1
109,366,2
109,385,2
109,406,2
109,410,2
109,549,3
109,576,3
109,582,3
109,734,4
110,387,2
110,565,3
110,871,5
111,226,1
111,721,4
112,230,1
112,726,4
113,230,1
113,400,2
113,569,3
114,229,1
114,567,3
115,248,1
115,568,3
115,872,5
115,1145,7
116,235,1
116,396,2
117,231,1
117,234,1
117,399,2
118,231,1
118,726,4
119,401,2
120,240,1
120,574,3
121,402,2
122,261,1
122,407,2
122,583,3
123,244,1
124,246,1
124,253,1
124,408,2
125,254,1
125,586,3
125,731,4
125,884,5
126,257,1
126,423,2
127,419,2
127,430,2
127,598,3
128,260,1
128,421,2
128,582,3
128,593,3
129,1022,6
130,590,3
131,264,1
131,267,1
131,422,2
131,432,2
131,582,3
132,270,1
132,749,4
133,263,1
133,273,1
133,431,2
134,265,1
134,427,2
134,601,3
135,269,1
135,279,1
135,429,2
135,434,2
135,436,2
135,440,2
135,600,3
135,607,3
135,744,4
135,751,4
135,1250,8
136,602,3
137,269,1
137,604,3
137,744,4
138,271,1
138,274,1
138,430,2
139,267,1
139,593,3
140,270,1
140,435,2
140,602,3
141,431,2
142,430,2
143,275,1
143,277,1
143,278,1
143,438,2
143,443,2
143,444,2
144,276,1
144,442,2
146,280,1
146,281,1
146,284,1
146,446,2
146,449,2
146,450,2
146,452,2
146,613,3
146,616,3
146,761,4
146,765,4
146,904,5
147,283,1
147,286,1
147,292,1
147,295,1
147,445,2
147,448,2
147,454,2
147,461,2
147,776,4
147,785,4
147,1178,7
148,284,1
148,442,2
149,285,1
149,288,1
149,447,2
149,451,2
149,617,3
149,763,4
149,1162,7
150,289,1
150,769,4
150,912,5
151,287,1
151,290,1
151,768,4
151,910,5
152,290,1
153,294,1
153,458,2
153,463,2
153,769,4
154,457,2
154,1169,7
155,293,1
155,296,1
155,298,1
155,299,1
155,455,2
155,464,2
155,466,2
155,469,2
155,631,3
156,467,2
156,632,3
156,637,3
156,792,4
156,937,5
156,1058,6
157,629,3
157,929,5
158,300,1
158,301,1
158,303,1
158,468,2
158,471,2
158,1479,10
159,474,2
159,791,4
159,1057,6
159,1281,8
160,307,1
160,470,2
161,305,1
161,473,2
162,307,1
162,308,1
162,641,3
163,310,1
163,476,2
164,313,1
164,1073,6
165,314,1
165,1811,14
166,804,4
167,479,2
167,1582,11
168,318,1
168,943,5
169,319,1
169,805,4
170,1080,6
170,1903,15
171,322,1
171,2061,17
172,321,1
172,324,1
172,652,3
173,328,1
173,486,2
173,951,5
173,1081,6
173,1586,11
174,329,1
174,654,3
175,655,3
175,809,4
176,811,4
176,1495,10
177,331,1
177,332,1
177,488,2
177,491,2
177,659,3
178,334,1
178,335,1
178,958,5
179,815,4
179,2439,22
180,336,1
180,338,1
180,492,2
180,816,4
180,1090,6
180,1749,13
181,337,1
181,1301,8
182,2511,23
183,341,1
183,497,2
183,500,2
183,501,2
183,667,3
183,668,3
183,1098,6
184,342,1
184,1210,7
185,672,3
185,828,4
186,676,3
186,832,4
186,977,5
187,978,5
188,832,4
188,834,4
188,979,5
189,348,1
189,509,2
189,833,4
189,1102,6
190,678,3
190,835,4
190,981,5
190,982,5
190,1103,6
191,836,4
192,510,2
192,837,4
192,983,5
193,351,1
193,352,1
193,680,3
194,352,1
194,1107,6
195,513,2
195,1514,10
196,354,1
196,517,2
196,520,2
196,521,2
196,991,5
197,357,1
197,688,3
198,358,1
198,522,2
199,523,2
199,991,5
200,358,1
200,691,3
201,359,1
201,524,2
201,690,3
202,361,1
202,691,3
203,361,1
203,525,2
204,694,3
205,528,2
205,693,3
206,529,2
206,693,3
207,363,1
208,367,1
208,693,3
208,700,3
209,365,1
209,539,2
209,702,3
210,366,1
210,381,1
210,385,1
210,388,1
210,396,1
210,537,2
210,549,2
210,559,2
210,562,2
210,564,2
210,868,4
211,373,1
211,543,2
211,700,3
212,370,1
212,543,2
213,377,1
213,547,2
213,703,3
213,709,3
214,373,1
214,552,2
215,370,1
215,700,3
216,375,1
216,704,3
217,375,1
217,553,2
217,704,3
218,551,2
218,2692,25
219,378,1
219,555,2
220,384,1
220,554,2
220,556,2
220,560,2
220,1006,5
221,552,2
221,711,3
222,386,1
222,549,2
223,386,1
223,549,2
224,557,2
224,713,3
225,389,1
225,549,2
226,869,4
226,1006,5
227,385,1
227,392,1
227,549,2
227,564,2
228,390,1
229,565,2
229,567,2
229,871,4
230,569,2
231,399,1
231,549,2
232,395,1
232,567,2
232,871,4
233,396,1
233,576,2
234,398,1
234,723,3
235,396,1
236,366,1
237,401,1
237,549,2
238,398,1
238,401,1
238,549,2
239,388,1
239,570,2
240,574,2
241,402,1
241,575,2
241,878,4
242,404,1
242,409,1
242,579,2
242,730,3
244,396,1
246,408,1
246,573,2
246,728,3
247,402,1
247,574,2
249,578,2
249,731,3
250,406,1
251,409,1
251,730,3
251,738,3
251,881,4
252,413,1
252,734,3
253,416,1
253,583,2
253,735,3
254,411,1
254,417,1
254,880,4
255,590,2
255,739,3
256,406,1
256,576,2
257,582,2
257,740,3
258,588,2
258,880,4
258,1022,5
259,418,1
259,419,1
259,743,3
260,406,1
260,426,1
260,576,2
260,582,2
260,593,2
261,594,2
261,741,3
262,1145,6
262,1250,7
263,420,1
263,431,1
263,585,2
263,590,2
263,592,2
264,421,1
264,582,2
264,593,2
265,423,1
266,596,2
266,1148,6
267,427,1
267,432,1
267,439,1
267,753,3
267,754,3
268,594,2
268,601,2
268,889,4
269,433,1
269,436,1
269,595,2
269,604,2
269,607,2
269,744,3
269,887,4
270,435,1
270,749,3
270,892,4
271,430,1
272,434,1
272,600,2
272,744,3
273,431,1
274,430,1
275,431,1
275,438,1
275,605,2
275,733,3
276,430,1
276,609,2
277,438,1
277,593,2
278,443,1
278,444,1
278,593,2
279,445,1
279,757,3
