layer,min_m,components,area_km2
0,0,79,1918.981347426574
1,5,106,1574.5062408031301
2,10,162,1642.188498232787
3,15,159,1566.3727030223115
4,20,169,1527.2862255115388
5,25,156,1440.8890548874538
6,30,145,1129.7886507756757
7,35,125,957.435124199967
8,40,114,671.3365218813337
9,45,100,565.9541196694321
10,50,102,468.3862435012002
11,55,92,454.2213094197969
12,60,85,417.66655595924516
13,65,76,350.41784204839394
14,70,89,448.5162435607877
15,75,70,336.8471174381112
16,80,84,347.6937997005312
17,85,83,342.26117863831
18,90,79,295.18546195376354
19,95,76,297.7684680090335
20,100,74,284.11159235437844
21,105,81,297.9390897692156
22,110,71,264.7044750756602
23,115,69,245.09502327328804
24,120,70,266.9628864623471
25,125,70,231.06329760988015
26,130,70,272.1855194662964
27,135,65,230.3544359131397
28,140,53,199.7485299173379
29,145,73,249.91714926132303
30,150,56,180.57856017870796
31,155,67,225.28963665272707
32,160,68,241.87875818966117
33,165,58,202.65785011627662
34,170,46,160.9056081801725
35,175,64,216.7132780246651
36,180,52,177.8294428935018
37,185,58,191.66062363021166
38,190,63,202.7198650177
39,195,55,188.66600728131584
40,200,52,180.64268120819526
41,205,54,177.55830603983935
42,210,45,133.49507537036254
43,215,50,164.04029542452744
44,220,56,186.04293466983373
45,225,49,163.51997623083602
46,230,58,183.514754235904
47,235,48,144.26965823840922
48,240,54,178.01503888098145
49,245,48,169.4494545028739
50,250,58,205.30072666797594
51,255,53,169.01134581545466
52,260,53,171.95610413558248
53,265,39,127.6437597638631
54,270,59,177.4277057482992
55,275,41,133.07431092531777
56,280,56,174.7566549755861
57,285,52,169.47226283975124
58,290,45,135.93948524020527
59,295,58,169.39480889599972
60,300,54,161.34560581413123
61,305,47,133.2508988144425
62,310,44,143.8921915145602
63,315,47,144.11065691785072
64,320,51,166.6357036286379
65,325,53,158.0255129950562
66,330,42,138.74512677908555
67,335,46,146.87096332933234
68,340,44,149.85705356477197
69,345,45,144.30878703345795
70,350,40,149.43507831622853
71,355,43,155.29830282194166
72,360,46,144.34792644050253
73,365,39,113.68560858530455
74,370,40,122.20089711950538
75,375,49,158.2780712514433
76,380,42,130.27348465866402
77,385,53,152.4366954359404
78,390,46,133.50568781333322
79,395,38,113.83776163864023
80,400,28,80.44871404608433
81,405,37,113.64542221044512
82,410,42,130.5675078078324
83,415,36,105.63302561606821
84,420,35,105.72467217999116
85,425,36,102.81357412982733
86,430,40,130.3449979789354
87,435,41,116.70941690727997
88,440,29,80.50353400076484
89,445,46,138.98686906091183
90,450,34,100.15885333078049
91,455,38,113.672368251898
92,460,34,102.5583364011856
93,465,35,105.31999477762804
94,470,28,83.24295367149911
95,475,40,124.97773846139361
96,480,38,110.68481733307752
97,485,38,113.48826040748166
98,490,32,105.48064170783755
99,495,34,111.16013666771707
100,500,28,82.95659099926306
101,505,42,121.9529397057947
102,510,32,88.68256132197558
103,515,39,110.95527610387799
104,520,43,119.60494232551883
105,525,41,124.63683955874282
106,530,40,119.29281912267767
107,535,47,138.7116524824824
108,540,25,77.66870170322785
109,545,30,91.72841777391645
110,550,31,86.21564351031495
111,555,33,96.95921570504561
112,560,29,85.83630474712903
113,565,47,138.62956331019953
114,570,40,113.99128010565704
115,575,36,102.3564451197237
116,580,32,91.60428241858702
117,585,34,105.34658319029104
118,590,33,97.14969176276809
119,595,28,83.3378608442033
120,600,46,138.62284638156459
121,605,29,86.1310307435855
122,610,37,108.40497884946794
123,615,34,94.17610762622975
124,620,31,86.24272797482287
125,625,38,108.3180861853144
126,630,37,108.19476499667638
127,635,40,119.10823030340174
128,640,40,119.23153875498345
129,645,44,135.86726984717455
130,650,37,108.02968272648204
131,655,36,102.75218115905321
132,660,40,124.64039943432904
133,665,40,113.36876707148306
134,670,36,121.97732612218239
135,675,38,113.88897940650938
136,680,52,152.26325191710444
137,685,42,119.06598989595877
138,690,54,163.56266388782797
139,695,35,102.49775187038756
140,700,45,138.43599403390488
141,705,30,91.46332948730623
142,710,36,105.31043343376082
143,715,37,105.27173550421286
144,720,32,88.90493452630221
145,725,37,102.6257851562169
146,730,39,110.73399543111503
147,735,31,94.31716429914235
148,740,34,99.73806064680295
149,745,33,96.83711865214372
150,750,38,105.22483738341009
151,755,47,149.8300976776508
152,760,33,100.06719970167036
153,765,38,105.39088159660534
154,770,31,88.72861265792064
155,775,41,121.97710880823583
156,780,32,97.23451761889586
157,785,33,91.58690161664661
158,790,32,91.45667098832706
159,795,41,119.25391018809128
160,800,36,99.75419754060646
161,805,24,66.58431120754526
162,810,34,97.1210209402449
163,815,37,102.68436222126881
164,820,32,91.58394822754116
165,825,30,86.11252906241408
166,830,40,116.70073790379607
167,835,34,97.19938426285722
168,840,35,99.62991407613026
169,845,31,88.72419448900257
170,850,25,77.64202008321038
171,855,24,69.26196144158561
172,860,32,91.40602002916108
173,865,33,96.99489099001981
174,870,30,88.90488875081327
175,875,46,130.22360858828262
176,880,32,88.77476764833858
177,885,33,91.45675482039178
178,890,42,119.24069844920605
179,895,38,108.1273834018829
180,900,39,113.68736930707867
181,905,33,94.27289051869474
182,910,38,119.26025221406236
183,915,26,72.08296585728847
184,920,32,96.80755318846315
185,925,32,94.31481688039673
186,930,27,77.6338020086056
